market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,spy_return,qqq_return,excess_spy,excess_qqq,holding_days
1628484,USO,Iran-Israel Conflict Oil Impact,0.52,val,2026-03-21,0.7,110.56,2026-03-25,116.09,profit_lock_5%,5.24,-3.72,5.0,0.2197202280627586,-0.03061099928252098,4.780279771937241,5.030610999282521,4
1633624,USO,Iran-Gulf State Conflict Oil Impact,0.675,val,2026-03-18,0.965,121.67,2026-03-30,129.83,resolution-1d,2.98,-12.51,6.71,-4.4539894318183615,-6.155655339442257,11.163989431818361,12.865655339442256,12
1633624,XLE,Iran-Gulf State Conflict Oil Impact,0.6,val,2026-03-18,0.965,58.43,2026-03-23,60.18,profit_lock_3%,3.23,-1.32,3.0,-0.9146830140698392,-1.1598628560922641,3.914683014069839,4.159862856092264,5
1633625,USO,Gulf Energy Disruption,0.54,val,2026-03-18,0.87,121.67,2026-03-30,129.83,resolution-1d,2.98,-12.51,6.71,-4.4539894318183615,-6.155655339442257,11.163989431818361,12.865655339442256,12
1633626,USO,Gulf Energy Disruption,0.54,val,2026-03-18,0.855,121.67,2026-03-30,129.83,resolution-1d,2.98,-12.51,6.71,-4.4539894318183615,-6.155655339442257,11.163989431818361,12.865655339442256,12
1633627,USO,Gulf Energy Disruption,0.54,val,2026-03-18,0.75,121.67,2026-03-23,110.56,poly<0.55,2.89,-12.51,-9.13,-0.9146830140698392,-1.1598628560922641,-8.215316985930162,-7.970137143907737,5
1633628,USO,Gulf Energy Disruption,0.54,val,2026-03-18,0.78,121.67,2026-03-30,129.83,resolution-1d,2.98,-12.51,6.71,-4.4539894318183615,-6.155655339442257,11.163989431818361,12.865655339442256,12
1633629,USO,Gulf Energy Disruption,0.54,val,2026-03-18,0.805,121.67,2026-03-30,129.83,resolution-1d,2.98,-12.51,6.71,-4.4539894318183615,-6.155655339442257,11.163989431818361,12.865655339442256,12
1633630,USO,"Iran Gulf State Military Action (March 24, 2026)",0.72,val,2026-03-20,0.84,121.43,2026-03-23,110.56,poly<0.55,0.0,-12.34,-8.95,1.050001924493782,1.0205137728620972,-10.00000192449378,-9.970513772862097,3
1633630,XLE,"Iran Gulf State Military Action (March 24, 2026)",0.64,val,2026-03-20,0.84,59.31,2026-03-23,59.63,poly<0.55,0.0,-2.78,0.54,1.050001924493782,1.0205137728620972,-0.5100019244937819,-0.4805137728620972,3
1633631,USO,"Iran Gulf State Military Action (March 25, 2026)",0.72,val,2026-03-20,0.755,121.43,2026-03-30,129.83,resolution-1d,3.19,-12.34,6.92,-2.55948262078598,-4.085484032825137,9.47948262078598,11.005484032825137,10
1633631,XLE,"Iran Gulf State Military Action (March 25, 2026)",0.64,val,2026-03-20,0.755,59.31,2026-03-25,61.09,profit_lock_3%,3.64,-2.78,3.0,1.2720292191797045,0.9895903841158793,1.7279707808202955,2.0104096158841207,5
1633633,USO,"Iran Gulf State Military Action (March 27, 2026)",0.72,val,2026-03-20,0.83,121.43,2026-03-30,129.83,resolution-1d,3.19,-12.34,6.92,-2.55948262078598,-4.085484032825137,9.47948262078598,11.005484032825137,10
1633633,XLE,"Iran Gulf State Military Action (March 27, 2026)",0.64,val,2026-03-20,0.83,59.31,2026-03-25,61.09,profit_lock_3%,3.64,-2.78,3.0,1.2720292191797045,0.9895903841158793,1.7279707808202955,2.0104096158841207,5
1633632,USO,"Iran Gulf State Military Action (March 26, 2026)",0.72,val,2026-03-20,0.805,121.43,2026-03-27,124.2,poly<0.55,0.0,-12.34,2.28,-2.2326009999274476,-3.346730672174225,4.5126009999274475,5.626730672174225,7
1633632,XLE,"Iran Gulf State Military Action (March 26, 2026)",0.64,val,2026-03-20,0.805,59.31,2026-03-25,61.09,profit_lock_3%,3.64,-2.78,3.0,1.2720292191797045,0.9895903841158793,1.7279707808202955,2.0104096158841207,5
1633634,USO,"Iran Gulf State Military Action (March 28, 2026)",0.72,val,2026-03-20,0.775,121.43,2026-03-30,129.83,resolution-1d,3.19,-12.34,6.92,-2.55948262078598,-4.085484032825137,9.47948262078598,11.005484032825137,10
1633634,XLE,"Iran Gulf State Military Action (March 28, 2026)",0.64,val,2026-03-20,0.775,59.31,2026-03-25,61.09,profit_lock_3%,3.64,-2.78,3.0,1.2720292191797045,0.9895903841158793,1.7279707808202955,2.0104096158841207,5
1633635,USO,"Iran Gulf State Military Action (March 29, 2026)",0.72,val,2026-03-20,0.73,121.43,2026-03-30,129.83,resolution-1d,3.19,-12.34,6.92,-2.55948262078598,-4.085484032825137,9.47948262078598,11.005484032825137,10
1633635,XLE,"Iran Gulf State Military Action (March 29, 2026)",0.64,val,2026-03-20,0.73,59.31,2026-03-25,61.09,profit_lock_3%,3.64,-2.78,3.0,1.2720292191797045,0.9895903841158793,1.7279707808202955,2.0104096158841207,5
1633637,USO,"Iran Gulf State Military Action (March 31, 2026)",0.72,val,2026-03-20,0.805,121.43,2026-03-30,129.83,resolution-1d,3.19,-12.34,6.92,-2.55948262078598,-4.085484032825137,9.47948262078598,11.005484032825137,10
1633637,XLE,"Iran Gulf State Military Action (March 31, 2026)",0.64,val,2026-03-20,0.805,59.31,2026-03-25,61.09,profit_lock_3%,3.64,-2.78,3.0,1.2720292191797045,0.9895903841158793,1.7279707808202955,2.0104096158841207,5
1633636,USO,"Iran Gulf State Military Action (March 30, 2026)",0.72,val,2026-03-20,0.72,121.43,2026-03-30,129.83,resolution-1d,3.19,-12.34,6.92,-2.55948262078598,-4.085484032825137,9.47948262078598,11.005484032825137,10
1633636,XLE,"Iran Gulf State Military Action (March 30, 2026)",0.64,val,2026-03-20,0.72,59.31,2026-03-25,61.09,profit_lock_3%,3.64,-2.78,3.0,1.2720292191797045,0.9895903841158793,1.7279707808202955,2.0104096158841207,5
